id,lat,lon,user,uid,version,changeset,timestamp
1323386866,43.5963150,1.2336570,Chouloute,306172,1,8424019,2011-06-13T10:04:26Z
1323386994,43.5938650,1.2341290,Chouloute,306172,1,8424019,2011-06-13T10:04:29Z
1323387165,43.5973230,1.2348270,Chouloute,306172,1,8424019,2011-06-13T10:04:33Z
1323387309,43.5935360,1.2333770,Chouloute,306172,1,8424019,2011-06-13T10:04:37Z
1323387448,43.5935000,1.2334080,Chouloute,306172,1,8424019,2011-06-13T10:04:40Z
1323387628,43.5945070,1.2259190,Chouloute,306172,1,8424019,2011-06-13T10:04:43Z
1323387750,43.5925410,1.2206650,Chouloute,306172,1,8424019,2011-06-13T10:04:45Z
1323387849,43.5966130,1.2345100,Chouloute,306172,1,8424019,2011-06-13T10:04:49Z
1323387995,43.5940850,1.2255690,Chouloute,306172,1,8424019,2011-06-13T10:04:54Z
1323388088,43.5954690,1.2283960,Chouloute,306172,1,8424019,2011-06-13T10:04:57Z
1323388249,43.5951900,1.2275880,Chouloute,306172,1,8424019,2011-06-13T10:05:00Z
1323388386,43.5956530,1.2312650,Chouloute,306172,1,8424019,2011-06-13T10:05:03Z
1323388497,43.5843970,1.2212970,Chouloute,306172,1,8424019,2011-06-13T10:05:06Z
1323388611,43.5926990,1.2234510,Chouloute,306172,1,8424019,2011-06-13T10:05:10Z
1323388703,43.5844590,1.2212020,Chouloute,306172,1,8424019,2011-06-13T10:05:13Z
1323388759,43.5951930,1.2276430,Chouloute,306172,1,8424019,2011-06-13T10:05:15Z
1323388825,43.5925310,1.2212310,Chouloute,306172,1,8424019,2011-06-13T10:05:21Z
1323388872,43.5962920,1.2332220,Chouloute,306172,1,8424019,2011-06-13T10:05:23Z
1323388939,43.5952640,1.2276580,Chouloute,306172,1,8424019,2011-06-13T10:05:26Z
1323388995,43.5932000,1.2333530,Chouloute,306172,1,8424019,2011-06-13T10:05:29Z
1323389059,43.5926760,1.2203150,Chouloute,306172,1,8424019,2011-06-13T10:05:32Z
1323389106,43.5925260,1.2200420,Chouloute,306172,1,8424019,2011-06-13T10:05:34Z
1323389160,43.5946910,1.2346070,Chouloute,306172,1,8424019,2011-06-13T10:05:37Z
1323389213,43.5967693,1.2344340,Luuuddooo,388649,2,29995360,2015-04-05T16:20:50Z
1323389276,43.5955650,1.2290400,Chouloute,306172,1,8424019,2011-06-13T10:05:42Z
1323389421,43.5959810,1.2323960,Chouloute,306172,1,8424019,2011-06-13T10:05:49Z
1323389623,43.5953180,1.2277750,Chouloute,306172,1,8424019,2011-06-13T10:05:55Z
1323389779,43.5925290,1.2216540,Chouloute,306172,1,8424019,2011-06-13T10:06:00Z
1323389926,43.5952200,1.2275990,Chouloute,306172,1,8424019,2011-06-13T10:06:04Z
1323390269,43.5955190,1.2306580,Chouloute,306172,1,8424019,2011-06-13T10:06:12Z
1323390446,43.5958400,1.2347040,Chouloute,306172,1,8424019,2011-06-13T10:06:16Z
1323390732,43.5840630,1.2218640,Chouloute,306172,1,8424019,2011-06-13T10:06:24Z
1323390954,43.5924540,1.2212000,Chouloute,306172,1,8424019,2011-06-13T10:06:30Z
1323544924,43.5935300,1.2248890,Chouloute,306172,1,8425631,2011-06-13T12:28:03Z
1323545024,43.5955310,1.2303000,Chouloute,306172,1,8425631,2011-06-13T12:28:06Z
1323545088,43.5844200,1.2212100,Chouloute,306172,1,8425631,2011-06-13T12:28:10Z
1323545162,43.5941430,1.2259970,Chouloute,306172,1,8425631,2011-06-13T12:28:13Z
1323545215,43.5956440,1.2316310,Chouloute,306172,1,8425631,2011-06-13T12:28:16Z
1323545281,43.5927300,1.2234870,Chouloute,306172,1,8425631,2011-06-13T12:28:19Z
1323545367,43.5941940,1.2343530,Chouloute,306172,1,8425631,2011-06-13T12:28:22Z
1323589674,43.5889321,1.2300374,Chouloute,306172,1,8425934,2011-06-13T12:52:57Z
1323589820,43.5908434,1.2332164,Chouloute,306172,1,8425934,2011-06-13T12:53:00Z
1323589945,43.5981522,1.2359479,Chouloute,306172,1,8425934,2011-06-13T12:53:02Z
1323701515,43.5629150,1.2245630,Chouloute,306172,1,8426712,2011-06-13T13:56:04Z
1323701960,43.5519470,1.2332610,Chouloute,306172,1,8426712,2011-06-13T13:56:09Z
